bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,0.9874125874125874,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.25
GoogleEarth,temperature,0.8037383177570093,real,0.932258064516129,gate_planes_resnet18_temperature,0.8966619731902211,0.8860801068557644,0.6165486414962007,0.8650692245698373,0.8419839820404643,0.798662572203002,0.7446591876006795,0.6160969554619702,0.38808964367458604,0.12509272389924253,0.0030900454662390517,1,3317,3317,,imagesource,0.25
JL,temperature,0.9525691699604744,real,0.5818181818181818,gate_planes_resnet18_temperature,0.39157251946352334,0.3821039887861451,0.21285843612492455,0.36012099703532746,0.3355657535678541,0.28782935099140444,0.21360297613765608,0.12011569912074598,0.032586266530158774,0.00508680961643017,0.0,1,1265,1265,,imagesource,0.25
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.25
GF,temperature,0.9874125874125874,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.30000000000000004
GoogleEarth,temperature,0.8094663852879108,real,0.9274193548387096,gate_planes_resnet18_temperature,0.8965985893806753,0.886028030364256,0.6156740490091968,0.8650265572199718,0.833407804316508,0.798607607149421,0.744622217488146,0.6161322716865527,0.3881281225780152,0.12509924444218146,0.0030900454662390517,1,3317,3317,,imagesource,0.30000000000000004
JL,temperature,0.9573122529644269,real,0.5454545454545454,gate_planes_resnet18_temperature,0.3622300900063415,0.3617402009289727,0.2035626896014755,0.334844662896327,0.31970953150379866,0.28465040536627567,0.21199520158180196,0.12206375574372076,0.03324308244151149,0.005149965546005149,0.0,1,1265,1265,,imagesource,0.30000000000000004
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.30000000000000004
GF,temperature,0.9888111888111888,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.35000000000000003
GoogleEarth,temperature,0.8148929755803437,real,0.9241935483870968,gate_planes_resnet18_temperature,0.8965947218258006,0.8860079746001455,0.6156715900545342,0.8650168710014626,0.8334010927170947,0.7986088880005475,0.7446313618048952,0.6161369629252313,0.3881281225780152,0.1250998596259093,0.0030900454662390517,1,3317,3317,,imagesource,0.35000000000000003
JL,temperature,0.9596837944664032,real,0.5272727272727272,gate_planes_resnet18_temperature,0.3528007148308984,0.35250865225654926,0.19998664789159834,0.33428990384986207,0.31113449975270785,0.2836529162396038,0.2108736079666609,0.11564679637130341,0.03378065037880428,0.005178737269593414,0.0,1,1265,1265,,imagesource,0.35000000000000003
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.35000000000000003
GF,temperature,0.9888111888111888,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.4
GoogleEarth,temperature,0.8185107024419657,real,0.917741935483871,gate_planes_resnet18_temperature,0.8965495693007303,0.8859962440798167,0.6156831229280175,0.8649710869170376,0.8333784348476324,0.7986305599232867,0.7447432775528399,0.6162126262189177,0.38815379522665694,0.12510558974701888,0.0030900454662390517,1,3317,3317,,imagesource,0.4
JL,temperature,0.9636363636363636,real,0.509090909090909,gate_planes_resnet18_temperature,0.35265624188996814,0.35206532047614203,0.19978923262269938,0.3339265870372322,0.310848520454244,0.2833928991536383,0.21032379754264982,0.11569626077720346,0.03379747449112205,0.005185224404793421,0.0,1,1265,1265,,imagesource,0.4
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.4
