bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
high,temperature,0.7655430711610487,real,0.9400630914826499,gate_planes_resnet18_temperature,0.9573441301738327,0.9472791712860389,0.6793917744496492,0.9358725969818111,0.9137191019453927,0.8793810622832956,0.8271996990062103,0.7107321431175091,0.46701443652185626,0.15201130549984454,0.0033640976806998007,1,1335,1335,gsd_bucket,0.45
low,temperature,0.9769126301493889,real,0.5147058823529411,gate_planes_resnet18_temperature,0.4218393127099273,0.42112897305718466,0.25342471596956223,0.4058093457855126,0.38340158309645034,0.35684281000921964,0.2854048693425958,0.18287598759119783,0.06857862673252674,0.008056245430413302,0.0003094059405940594,1,2209,2209,gsd_bucket,0.45
medium,temperature,0.8920308483290489,real,0.6379310344827587,gate_planes_resnet18_temperature,0.5037843646875282,0.49389266576000296,0.31033391022927753,0.4840033611572172,0.47286480995088453,0.44505784409626026,0.37030862574982104,0.23810243249563634,0.09159222487983591,0.0036251540579906706,0.00010761945759793371,1,389,389,gsd_bucket,0.45
unknown,temperature,0.6567164179104478,real,0.9375,gate_planes_resnet18_temperature,0.8470866661962103,0.8104307620690953,0.4378644242299802,0.7411315587645889,0.6349602176724538,0.5651438773905006,0.4737145405415327,0.25782381735222204,0.04727269430239727,0.00108010801080108,0.0,1,134,134,gsd_bucket,0.45
very_high,temperature,0.8311461067366579,real,0.9441624365482234,gate_planes_resnet18_temperature,0.8704453408864422,0.8488662605070749,0.5625723246051042,0.8164601205433409,0.7736339307920198,0.7211266714759255,0.6621675553282136,0.4989900520260758,0.31907439918582353,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.45
very_low,temperature,1.0,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.45
high,temperature,0.7670411985018727,real,0.9369085173501577,gate_planes_resnet18_temperature,0.947828371630462,0.947026020100841,0.6756252664214872,0.9266570228769246,0.9044971762563474,0.8791291731373875,0.8186206573174332,0.7102441712690281,0.4669178408159319,0.15196813312981622,0.0033640976806998007,1,1335,1335,gsd_bucket,0.5
low,temperature,0.9773653236758715,real,0.5147058823529411,gate_planes_resnet18_temperature,0.4218393127099273,0.42112897305718466,0.25342471596956223,0.4058093457855126,0.38340158309645034,0.35684281000921964,0.2854048693425958,0.18287598759119783,0.06857862673252674,0.008056245430413302,0.0003094059405940594,1,2209,2209,gsd_bucket,0.5
medium,temperature,0.8946015424164524,real,0.6379310344827587,gate_planes_resnet18_temperature,0.5037843646875282,0.49389266576000296,0.31033391022927753,0.4840033611572172,0.47286480995088453,0.44505784409626026,0.37030862574982104,0.23810243249563634,0.09159222487983591,0.0036251540579906706,0.00010761945759793371,1,389,389,gsd_bucket,0.5
unknown,temperature,0.6716417910447762,real,0.9166666666666666,gate_planes_resnet18_temperature,0.8471489452784657,0.8104895789429829,0.4378945380747769,0.7411858858007752,0.6350078099520882,0.5651856328811231,0.4737509082269136,0.25782381735222204,0.04727269430239727,0.00108010801080108,0.0,1,134,134,gsd_bucket,0.5
very_high,temperature,0.8337707786526685,real,0.9441624365482234,gate_planes_resnet18_temperature,0.8704453408864422,0.8488662605070749,0.5625723246051042,0.8164601205433409,0.7736339307920198,0.7211266714759255,0.6621675553282136,0.4989900520260758,0.31907439918582353,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.5
very_low,temperature,1.0,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.5
high,temperature,0.7692883895131086,real,0.9337539432176656,gate_planes_resnet18_temperature,0.9478317231869349,0.947008067343391,0.675627529385803,0.9266685863228689,0.9045056907847886,0.8791373083911466,0.8186233892868705,0.7102486772507541,0.46691962048075847,0.15196813312981622,0.0033640976806998007,1,1335,1335,gsd_bucket,0.55
low,temperature,0.9814395654142146,real,0.47058823529411764,gate_planes_resnet18_temperature,0.4027737575751897,0.40227451647460905,0.2457078544268768,0.38770416522924894,0.3773857126270027,0.35079991005103695,0.2798807056785416,0.1777143894680111,0.07005919266553459,0.00816680772220559,0.00031938677738741617,1,2209,2209,gsd_bucket,0.55
medium,temperature,0.897172236503856,real,0.6379310344827587,gate_planes_resnet18_temperature,0.5037843646875282,0.49389266576000296,0.31033391022927753,0.4840033611572172,0.47286480995088453,0.44505784409626026,0.37030862574982104,0.23810243249563634,0.09159222487983591,0.0036251540579906706,0.00010761945759793371,1,389,389,gsd_bucket,0.55
