bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.75
GoogleEarth,temperature,0.6810370817003316,real,0.6235446313065977,gate_small_vehicle_resnet18_temperature,0.42703608800970205,0.4040317746453776,0.19217172843660874,0.36709255592848206,0.3108979419780054,0.22441966173752642,0.12619526787234486,0.04996146210291975,0.0103127450366471,0.0017472335468841002,2.255350819820023e-05,1,3317,3317,,imagesource,0.75
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.75
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.75
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.8
GoogleEarth,temperature,0.7087729876394332,real,0.5711513583441138,gate_small_vehicle_resnet18_temperature,0.4108683494466695,0.39470594037114404,0.18694893573397625,0.35823636600559045,0.30297101316776265,0.21804671087871894,0.12504886762770187,0.04756380270681929,0.010278364895584011,0.0017472335468841002,2.270869288763739e-05,1,3317,3317,,imagesource,0.8
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.8
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.8500000000000001
GoogleEarth,temperature,0.7404280976786253,real,0.5168175937904269,gate_small_vehicle_resnet18_temperature,0.39297156907960684,0.37100460752152603,0.1784698188862173,0.3419231526034482,0.2886122707358756,0.21088632799518556,0.12012845162919504,0.04706792158533037,0.01022447993364059,0.0018564356435643563,2.297213480048701e-05,1,3317,3317,,imagesource,0.8500000000000001
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.8500000000000001
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8500000000000001
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.9
GoogleEarth,temperature,0.7817304793488091,real,0.4385510996119017,gate_small_vehicle_resnet18_temperature,0.3679582328955105,0.3528992387761322,0.16767860041899188,0.3184506846608388,0.2725833402845854,0.19770518731551923,0.1110105113448525,0.04424033012809588,0.009935093434139643,0.0019801980198019802,2.318733044264614e-05,1,3317,3317,,imagesource,0.9
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.9
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.9500000000000001
GoogleEarth,temperature,0.8387096774193549,real,0.3279430789133247,gate_small_vehicle_resnet18_temperature,0.3228087675483623,0.3020413070761189,0.14494878446618703,0.27586312101974014,0.2342989180733923,0.16926599059851283,0.09785334600859859,0.03628526993365411,0.00876140367494388,0.002284843869002285,2.487685954525101e-05,1,3317,3317,,imagesource,0.9500000000000001
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.9500000000000001
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9500000000000001
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,1.0
GoogleEarth,temperature,1.0,real,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3317,3317,,imagesource,1.0
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,1.0
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,1.0
