epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/oan,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/oan,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
13,8671.31,0.96024,0.81992,1.08442,0.02878,0.0013,0.94198,0.83755,0.88662,0.70286,0.60695,1.41356,0.66709,0.01365,0.00179,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9331.9,0.94624,0.79143,1.07766,0.02669,0.00125,0.93744,0.84438,0.88858,0.6956,0.57977,1.63413,0.65118,0.01196,0.00171,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9990.01,0.9176,0.7969,1.05661,0.02473,0.00126,0.93266,0.85361,0.88756,0.7111,0.58422,1.82346,0.6575,0.0123,0.00174,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10648.9,0.8973,0.74243,1.05288,0.02473,0.00123,0.94584,0.84823,0.88893,0.71251,0.56728,1.34161,0.64391,0.01163,0.00172,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11307.1,0.9034,0.71958,1.05048,0.02365,0.00123,0.94115,0.8477,0.88854,0.71331,0.54501,1.32484,0.63444,0.0116,0.00168,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11964,0.88757,0.71505,1.05397,0.02241,0.00117,0.93834,0.84833,0.88736,0.70821,0.54855,1.22168,0.63942,0.01079,0.00171,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,12621,0.87935,0.70245,1.04316,0.02367,0.00117,0.93908,0.85483,0.89097,0.71578,0.53801,1.29864,0.62327,0.00906,0.00174,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,13280.6,0.86041,0.67723,1.02662,0.02081,0.00116,0.94631,0.8531,0.89126,0.71238,0.53086,1.83097,0.62221,0.0122,0.0016,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,13936,0.85139,0.66856,1.03302,0.02132,0.0011,0.93835,0.8593,0.88985,0.7188,0.53648,1.15311,0.61818,0.00968,0.0017,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,14593.8,0.83582,0.63506,1.01562,0.02066,0.00112,0.93878,0.8541,0.88969,0.71691,0.54837,1.44925,0.63735,0.01107,0.0016,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,15249.4,0.83489,0.70026,1.01458,0.02,0.00108,0.94291,0.85531,0.8923,0.72004,0.53168,1.31063,0.6238,0.009,0.00173,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,15906.6,0.82582,0.63039,1.01936,0.02099,0.00109,0.94391,0.86059,0.89309,0.72947,0.5237,1.14982,0.61531,0.00986,0.00172,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,16564.8,0.82127,0.62925,1.00942,0.01951,0.00109,0.93736,0.86206,0.89228,0.71769,0.51589,1.01009,0.6192,0.01119,0.00163,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,17220.8,0.82422,0.61635,1.01393,0.01977,0.00105,0.94495,0.85921,0.89275,0.72243,0.51763,1.12561,0.61605,0.01146,0.00172,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,17876.5,0.80383,0.59864,1.00233,0.01883,0.00104,0.94678,0.86208,0.90096,0.72628,0.51377,1.03334,0.61189,0.01023,0.00167,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,18533.5,0.7876,0.58256,0.99697,0.01899,0.001,0.9464,0.86231,0.89413,0.72423,0.51465,1.04783,0.6115,0.00947,0.0017,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,19189.7,0.79447,0.5813,1.01128,0.01994,0.00102,0.94337,0.8649,0.90139,0.73042,0.50842,1.0424,0.60955,0.00818,0.00168,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,19847.8,0.78257,0.57976,0.9916,0.0186,0.00099,0.94462,0.86044,0.89372,0.73004,0.50282,1.28007,0.61135,0.00793,0.00173,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,20502.9,0.77981,0.57034,0.99738,0.01864,0.00098,0.94643,0.86225,0.89418,0.73006,0.51206,1.14114,0.61578,0.01129,0.00165,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,21160,0.7774,0.5761,0.99039,0.01807,0.001,0.94444,0.86225,0.90113,0.73262,0.50626,1.14046,0.60611,0.01151,0.00169,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,21817.5,0.74823,0.5296,0.98282,0.01591,0.00099,0.94905,0.85394,0.89325,0.73078,0.50956,1.25406,0.6051,0.01122,0.00174,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,22471.7,0.75134,0.55903,0.97713,0.01716,0.00094,0.9484,0.85623,0.89331,0.73222,0.50415,0.98086,0.60456,0.00984,0.00177,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,23127.2,0.73907,0.5258,0.97032,0.0165,0.00094,0.94236,0.8626,0.89389,0.73374,0.49888,1.17611,0.59841,0.01082,0.00174,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,23782.3,0.7337,0.51491,0.97153,0.01628,0.00091,0.94538,0.86181,0.89294,0.72877,0.51194,1.10201,0.61263,0.01262,0.0018,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,24438.1,0.7158,0.50454,0.9643,0.01569,0.00094,0.94105,0.86655,0.89378,0.73176,0.50556,1.11244,0.60655,0.00979,0.00179,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,25094.5,0.72094,0.50598,0.95983,0.01477,0.0009,0.94449,0.86281,0.90095,0.73376,0.50516,0.95804,0.60714,0.01011,0.00179,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,25750.6,0.7011,0.50161,0.95809,0.0144,0.00088,0.94694,0.86013,0.89329,0.73273,0.50131,1.09476,0.60081,0.0113,0.00181,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,26404.8,0.68792,0.47298,0.94738,0.01379,0.00084,0.94533,0.86247,0.89347,0.73295,0.50066,1.0886,0.59767,0.01064,0.0018,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,27063.6,0.67815,0.55253,0.92102,0.01404,0.0006,0.95017,0.86002,0.89368,0.73349,0.50372,1.00411,0.60405,0.00965,0.00182,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,27720.5,0.68367,0.50724,0.93203,0.0142,0.0006,0.95247,0.85857,0.89379,0.73342,0.49887,0.94617,0.60542,0.00975,0.00182,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,28382.1,0.64982,0.46438,0.91517,0.01157,0.00059,0.94545,0.8659,0.89361,0.73192,0.50013,0.97551,0.60365,0.00892,0.00181,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,29039.5,0.63964,0.44672,0.90924,0.01093,0.00057,0.94834,0.86199,0.89352,0.73095,0.50107,1.01998,0.60731,0.00876,0.00183,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,29694.1,0.6359,0.46464,0.90049,0.01196,0.00057,0.94529,0.86412,0.89313,0.732,0.50628,1.03223,0.60832,0.00871,0.00184,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,30349.1,0.63429,0.43534,0.91851,0.01154,0.00057,0.94799,0.86162,0.8931,0.73127,0.50292,1.06183,0.60532,0.00865,0.00185,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,31006.1,0.62234,0.42347,0.89331,0.0109,0.00055,0.94802,0.85965,0.89271,0.73048,0.50454,1.06839,0.60416,0.00841,0.00184,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,31662.8,0.61211,0.43487,0.90138,0.0111,0.00055,0.94852,0.8596,0.8924,0.72922,0.50577,1.07374,0.60291,0.00849,0.00186,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,32318.9,0.59488,0.39861,0.89112,0.0105,0.00054,0.94814,0.85951,0.8842,0.72651,0.50459,1.06784,0.60169,0.00861,0.00188,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,32974,0.5964,0.39418,0.89855,0.01113,0.00053,0.94792,0.8604,0.88415,0.72633,0.50425,1.0676,0.60234,0.00864,0.00189,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
