__source__,bucket,calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold,total_gflops,total_latency_ms
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,135994.346307584,15197.552345169242,0.860487068151784,real,25232.186443776005,1802.2176906088134,0.4476067270375162,gate_small_vehicle_resnet18,0.3687358486851595,0.3538719343998753,0.16911372905945238,0.3253875810413589,0.2735742590099496,0.19849493366891152,0.11465369360177244,0.04441965508802496,0.00999605392523283,0.0019801980198019802,2.313315443693902e-05,739,1,,5297,,,0.9,161226.53275136,16999.770035778056
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,99557.430788096,11125.677697884385,0.8978667170096281,real,25232.186443776005,1802.2176906088134,0.3318240620957309,gate_small_vehicle_resnet18,0.3230419629150293,0.3090074169921262,0.1463530462972357,0.2823673444339704,0.2344160387717919,0.16936348726561665,0.09794222634802939,0.03631522553787934,0.008767039979366191,0.002284843869002285,2.487685954525101e-05,541,1,,5297,,,0.9500000000000001,124789.617231872,12927.895388493198
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_small_vehicle_resnet18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,1.0,25232.186443776005,1802.2176906088134
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_small_vehicle_resnet18,0.4640964474990524,0.439105822337762,0.20722043886218394,0.3949618021477602,0.3307467986261782,0.2406075726392861,0.135396789970095,0.053239510453280826,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,,5297,,,0.0,1000011.6890030081,110735.14701721433
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,513981.338615808,57438.11055488186,0.4727204077779875,real,25232.186443776005,1802.2176906088134,0.9870633893919794,gate_small_vehicle_resnet18,0.4635847037215001,0.43891940576255606,0.20721602404253572,0.3950192054870213,0.3310114529966778,0.24080498044823595,0.13549020416100477,0.05327254244064335,0.012717771730991494,0.0013201320132013201,1.984166352506994e-05,2793,1,,5297,,,0.05,539213.525059584,59240.32824549067
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,437242.986233856,48862.495767418295,0.5514442137058713,real,25232.186443776005,1802.2176906088134,0.9715394566623544,gate_small_vehicle_resnet18,0.4634174118413078,0.43890336352868287,0.20720968179252575,0.39499235964438284,0.33104088718810126,0.24085336890363349,0.135542521662203,0.05328383164167213,0.01272309983854761,0.0013201320132013201,1.984166352506994e-05,2376,1,,5297,,,0.1,462475.172677632,50664.71345802711
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,399149.847281664,44605.53590889322,0.5905229375117991,real,25232.186443776005,1802.2176906088134,0.9592496765847348,gate_small_vehicle_resnet18,0.4634438952715893,0.43893655194151526,0.207218730770919,0.3950217652825091,0.3310155482768031,0.24087308850708167,0.135547412518647,0.05328328620561334,0.012725786028705078,0.0013201320132013201,1.984166352506994e-05,2169,1,,5297,,,0.15000000000000002,424382.03372544004,46407.75359950203
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,372650.2723584,41644.17252904968,0.6177081366811403,real,25232.186443776005,1802.2176906088134,0.9456662354463131,gate_small_vehicle_resnet18,0.463390115183721,0.43883602223579304,0.20713862062336888,0.39488282386306106,0.33079035758940084,0.24064907426375395,0.1355073815129752,0.05326603932004446,0.012724258251537784,0.0013201320132013201,2.0002000200020003e-05,2025,1,,5297,,,0.2,397882.458802176,43446.3902196585
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,347254.846390272,38806.199290032964,0.6437606192184255,real,25232.186443776005,1802.2176906088134,0.9223803363518758,gate_small_vehicle_resnet18,0.4631447193397056,0.4333513887060759,0.2065186905544238,0.3946595578722131,0.33064643647086606,0.2406200912446289,0.13544154088950705,0.05324570533189746,0.012737291186063194,0.0013201320132013201,2.004249007896741e-05,1887,1,,5297,,,0.25,372487.03283404803,40608.41698064178
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature.json,,temperature,328116.264501248,36667.43684903486,0.6633943741740608,real,25232.186443776005,1802.2176906088134,0.8965071151358344,gate_small_vehicle_resnet18,0.45701865164764377,0.4330155374307334,0.20539997960382533,0.39447951045614804,0.3305597852320113,0.23696125648417826,0.13530033744172634,0.053173237937886704,0.012151304904644894,0.0013201320132013201,2.004249007896741e-05,1783,1,,5297,,,0.30000000000000004,353348.45094502403,38469.65453964367
